family,scenario,field,segment,n_traj,n_time,dt,grid,static_share,dynamic_share,boxcar_low_share,boxcar_mid_share,boxcar_high_share,boxcar_share_bin1,boxcar_share_le_2,boxcar_share_le_4,boxcar_share_le_8,boxcar_modes_50,boxcar_modes_90,boxcar_modes_99,boxcar_effective_modes,boxcar_centroid_rel,boxcar_ar1_phi,boxcar_excess_share,boxcar_peak_bin,boxcar_peak_over_null,boxcar_peak_rel_nyquist,boxcar_low_share_sd,boxcar_excess_share_sd,hann_low_share,hann_mid_share,hann_high_share,hann_share_bin1,hann_share_le_2,hann_share_le_4,hann_share_le_8,hann_modes_50,hann_modes_90,hann_modes_99,hann_effective_modes,hann_centroid_rel,hann_ar1_phi,hann_excess_share,hann_peak_bin,hann_peak_over_null,hann_peak_rel_nyquist,hann_low_share_sd,hann_excess_share_sd
Turbulent radiative layer 2D,tcool_0.03,density,full,1,101,1.597033,128x384,0.8524269750024861,0.1475730249975138,0.5641375899184128,0.32274315662895053,0.1131192534526366,0.2640189589636142,0.3330144978212836,0.48886996160383567,0.6437181111709221,5,28,48,9.959796585667103,0.19334459291493772,0.7017028375312477,0.18320492233172325,1,2.272447182330934,0.02,0.0,0.0,0.5346855482849076,0.34048069107843554,0.12483376063665685,0.16625367148924278,0.25545719014894364,0.43641363072365136,0.6234547555779751,5,29,48,14.184518551107193,0.20948760852777523,0.6774550797399775,0.13192506375462212,1,1.5698151434854628,0.02,0.0,0.0
Turbulent radiative layer 2D,tcool_0.03,density,train,1,60,1.597033,128x384,0.9093577727505061,0.09064222724949378,0.5337055580751395,0.3461665615465627,0.12012788037829795,0.2318661654565758,0.4060442460313634,0.5959770619312076,0.7466180977627612,3,17,29,8.740184907636664,0.21148023294511137,0.6709554288895331,0.10617279115595835,1,1.3389703531128723,0.03333333333333333,0.0,0.0,0.38662333899822854,0.48330674823655767,0.13006991276521399,0.1524374876555849,0.25224309987417043,0.47653649316577623,0.7129907565261404,5,18,28,12.522252797150722,0.24048459584059173,0.6462340383055758,0.06609278690421451,6,1.4670601256454727,0.2,0.0,0.0
Turbulent radiative layer 2D,tcool_0.03,pressure,full,1,101,1.597033,128x384,0.045473517460435584,0.9545264825395646,0.4523939695221971,0.3847806589310019,0.16282537154680102,0.29244631728048415,0.32728184544463457,0.4233798993630654,0.5336688177728084,7,34,49,9.734472017291898,0.24183484809718525,0.59135512008015,0.2570990449750125,1,3.696151741435603,0.02,0.0,0.0,0.39997341372977235,0.3925297177963579,0.20749686847386997,0.2222095407102317,0.3211484672356023,0.38185948139227394,0.45367478779036524,10,38,49,13.722266542605377,0.2795215751731722,0.5133753744939117,0.24075147739722058,1,3.5265178225387337,0.02,0.0,0.0
Turbulent radiative layer 2D,tcool_0.03,pressure,train,1,60,1.597033,128x384,0.03283677388138673,0.9671632261186132,0.5756697989104584,0.2723153241760862,0.15201487691345508,0.31973352572218583,0.5252159565133327,0.6009694338903935,0.7344053868364852,2,21,29,6.38937000203591,0.21942252739536394,0.6350721750043878,0.25689324946430553,1,2.0844505467364525,0.03333333333333333,0.0,0.0,0.539447973933341,0.3007952551538578,0.15975677091280127,0.3483813363411255,0.48996156404469393,0.5710776396169052,0.7122489065295525,3,20,29,6.456518506517216,0.22827848262586384,0.6337634393558423,0.23205898993389423,1,2.280950881082098,0.03333333333333333,0.0,0.0
Turbulent radiative layer 2D,tcool_0.06,density,full,1,101,1.597033,128x384,0.8581557246405408,0.14184427535945926,0.5008452234515303,0.3675123020720859,0.13164247447638386,0.1924397950085993,0.2797788583054592,0.44204119938139613,0.613914452583874,5,30,48,14.147260911517968,0.21538260911769813,0.6586710900557061,0.10005176821271537,1,1.9452750603722442,0.02,0.0,0.0,0.46809474457532624,0.40058464475724886,0.1313206106674248,0.10451316908455371,0.17941409537058817,0.3977968873851727,0.596485826155737,6,30,48,17.578540782587773,0.22505736114161679,0.6542245963916705,0.07959796041724146,4,1.6078994432104006,0.08,0.0,0.0
Turbulent radiative layer 2D,tcool_0.06,density,train,1,60,1.597033,128x384,0.9017596106331833,0.0982403893668167,0.4390327233239761,0.4232440105399416,0.13772326613608232,0.17280273975443602,0.29036423632921693,0.5090541483168987,0.6803234733029278,4,19,29,11.757595925954487,0.2437878876982929,0.6094146460652808,0.09141278785933349,3,1.4022472535605524,0.1,0.0,0.0,0.3363630956441469,0.4882559452039027,0.17538095915195062,0.13147195951619778,0.21795557430764906,0.3971686839935915,0.6046675594253087,6,21,29,15.69065637347631,0.28543371903657894,0.5395805556856395,0.08018232677086809,10,1.3772646388563055,0.3333333333333333,0.0,0.0
Turbulent radiative layer 2D,tcool_0.06,pressure,full,1,101,1.597033,128x384,0.045350963048673344,0.9546490369513269,0.47022865800705144,0.36066087861681556,0.16911046337613292,0.280347081874992,0.3240750833571788,0.43895780047238653,0.5822980379469663,7,34,49,10.114066556735601,0.23821654969693126,0.5965840119877432,0.23174782614966472,1,3.485817073543157,0.02,0.0,0.0,0.3735928852724427,0.4252496770101033,0.2011574377174539,0.17936778371000212,0.2520154851517721,0.3462432183782247,0.48755627785149497,9,37,50,18.090009488186617,0.2838539797850702,0.514045704299722,0.1720418039888318,1,2.8413608547259357,0.02,0.0,0.0
Turbulent radiative layer 2D,tcool_0.06,pressure,train,1,60,1.597033,128x384,0.0198535624594315,0.9801464375405684,0.5095189356032268,0.31663602804026514,0.17384503635650786,0.1640212462882567,0.39081843394030297,0.5711035488646465,0.7006458433020059,3,20,29,9.506599540475253,0.2477045451957264,0.5847254194152743,0.17401053238970368,2,1.916962476258916,0.06666666666666667,0.0,0.0,0.2331751159940957,0.43738887225405637,0.3294360117518479,0.08443822214133233,0.17421743773798376,0.27148545243169214,0.483620101521645,9,24,29,21.173113668221166,0.37988932231197187,0.2966310655214295,0.1525216362232935,7,1.7484469124164663,0.23333333333333334,0.0,0.0
Turbulent radiative layer 2D,tcool_0.10,density,full,1,101,1.597033,128x384,0.891965391045106,0.10803460895489429,0.46736762905232665,0.40122063071863984,0.13141174022903346,0.16026531725649515,0.2293664968291145,0.4125950199861688,0.6005706988371925,6,30,48,16.029380851343106,0.2186637701102566,0.6582776885593955,0.09223539890119771,1,1.622304973703455,0.02,0.0,0.0,0.43385839386600333,0.4349057676892725,0.13123583844472414,0.09438463930262922,0.16956775443185085,0.3728819360706918,0.5868829761890514,7,30,48,18.71392814390741,0.22563032448300363,0.6559447468070767,0.05599916844650122,3,1.3057592679991135,0.06,0.0,0.0
Turbulent radiative layer 2D,tcool_0.10,density,train,1,60,1.597033,128x384,0.92065739708584,0.07934260291415984,0.3826452017242545,0.4779072375056522,0.13944756077009327,0.17738687801125474,0.3165143514027403,0.4838017843818925,0.6910895936412583,5,18,29,11.9543955733343,0.2419736544383156,0.6159851978705082,0.08297431898163769,9,1.4556289317221964,0.3,0.0,0.0,0.22645179051991782,0.6198688441690638,0.15367936531101828,0.08695159855424733,0.14953051046240298,0.33523203772213445,0.6435264249509948,6,19,29,15.519269117476671,0.2792713241832632,0.5619267998408055,0.1407692079992095,5,1.551526994629629,0.16666666666666666,0.0,0.0
Turbulent radiative layer 2D,tcool_0.10,pressure,full,1,101,1.597033,128x384,0.014136722294478318,0.9858632777055216,0.5698039048386515,0.29457671949444847,0.13561937566689986,0.32368898512740607,0.4028588398285143,0.5176279579157346,0.6610839649844867,4,31,49,7.827539019170072,0.19832665253250334,0.6793611926336115,0.2361041058798019,1,3.0347878522245253,0.02,0.0,0.0,0.475015001621759,0.3388332221690727,0.18615177620916834,0.21905529104102697,0.2707099372858884,0.3859336451456325,0.5554633762698485,6,35,49,13.412438579466428,0.2524122858748854,0.5838019527510139,0.22444859711254433,1,2.8339434060506883,0.02,0.0,0.0
Turbulent radiative layer 2D,tcool_0.10,pressure,train,1,60,1.597033,128x384,0.009485069425406953,0.990514930574593,0.6523890749462358,0.23937786759105734,0.10823305746270712,0.4530857085210955,0.5906928891801663,0.7052690947997147,0.7980999294388688,2,17,29,4.232918315951544,0.17196380112452817,0.7347837762942303,0.2545999213712244,1,2.0634160102100307,0.03333333333333333,0.0,0.0,0.5292673289265116,0.3277362380982955,0.14299643297519263,0.37918872001590903,0.4158557360253645,0.6031296949949883,0.7406310834807306,3,20,29,5.758864162336508,0.21517701673471015,0.6507251377519044,0.23833023328243216,1,2.3469544684115373,0.03333333333333333,0.0,0.0
Turbulent radiative layer 2D,tcool_0.18,density,full,1,101,1.597033,128x384,0.8630460442795774,0.13695395572042254,0.4921894259884475,0.39056027491804035,0.1172502990935122,0.12712617119465375,0.22202273984680798,0.3865295133640432,0.6352941768058921,6,28,48,16.001320960553397,0.20939022488072984,0.6820925419063435,0.09497872100217328,5,1.5745971742546685,0.1,0.0,0.0,0.45514306293293005,0.4316798139514174,0.1131771231156525,0.088088953968426,0.16899760620301688,0.3206112503877503,0.6544100821983594,6,27,48,15.567847001595753,0.21015865254594304,0.6942362433192417,0.1545526209566106,5,1.9847114469434546,0.1,0.0,0.0
Turbulent radiative layer 2D,tcool_0.18,density,train,1,60,1.597033,128x384,0.8935406044499589,0.10645939555004114,0.4705858437357709,0.4067100043001713,0.12270415196405784,0.12706985898593037,0.24012917250739368,0.5782988191670958,0.7141760044511544,4,17,28,9.643781619279505,0.2302309790381129,0.6442477247807648,0.15903895891850942,3,2.0685871090140107,0.1,0.0,0.0,0.3913151623382505,0.47850073713059044,0.130184100531159,0.0701251191803923,0.1601827834858769,0.534530786324467,0.6867392554184086,4,18,29,10.068004929513352,0.24821322650831412,0.6217489699639901,0.2021088033419868,3,2.140481243109986,0.1,0.0,0.0
Turbulent radiative layer 2D,tcool_0.18,pressure,full,1,101,1.597033,128x384,0.028377915864857144,0.9716220841351426,0.575063651237527,0.26937125007499524,0.1555650986874778,0.23578199089752092,0.26160751083298206,0.5333865177522451,0.6327891070448475,4,33,48,9.714355041058838,0.21702448985685427,0.6396900356448693,0.2851272402035597,1,2.5462144059682235,0.02,0.0,0.0,0.5338038168239052,0.2683228099845608,0.19787337319153417,0.23020659779434807,0.3777271906124406,0.5028820727337185,0.5689996457762274,4,36,49,10.942476350023483,0.2429212444774978,0.577417654584478,0.2990834239167639,1,3.0368124638708434,0.02,0.0,0.0
Turbulent radiative layer 2D,tcool_0.18,pressure,train,1,60,1.597033,128x384,0.01891686676343957,0.9810831332365605,0.4264208692003247,0.38251547073224557,0.19106366006742975,0.11137959741453322,0.32320688171626316,0.4654411684695034,0.6612601253198231,5,22,29,11.65399031793813,0.271061830096925,0.5411839438086984,0.14442082158437286,2,1.9866001107155329,0.06666666666666667,0.0,0.0,0.1281846139848832,0.5019624874692014,0.36985289854591513,0.03609348630631521,0.09599313590523748,0.15999169347783315,0.36838729247789836,11,25,29,24.25323612450368,0.42794837986058926,0.18915539682873597,0.14168206491545765,9,1.7153634737681456,0.3,0.0,0.0
Turbulent radiative layer 2D,tcool_0.32,density,full,1,101,1.597033,128x384,0.8870566272660692,0.112943372733931,0.43394762613041976,0.44180853717336027,0.12424383669621987,0.17461704784094442,0.20584897122751963,0.2783248808886334,0.6019330184145015,6,29,48,13.112375665019842,0.2228307058930636,0.6565776926334068,0.22485104413596246,5,2.380327824880177,0.1,0.0,0.0,0.42463924919906715,0.4576280799733464,0.11773267082758655,0.10538881167643054,0.1612204085394116,0.24264910418769195,0.6257400452195261,6,28,48,13.058508820030836,0.22056515082802672,0.6725653560385427,0.20928082684269028,5,2.7366511299404777,0.1,0.0,0.0
