family,scenario,field,segment,binning,k,share,cumulative_share
Gray-Scott reaction-diffusion,bubbles,A,full,radial,1,0.017640770542606425,0.017640770542606425
Gray-Scott reaction-diffusion,bubbles,A,full,radial,2,0.049385288510416604,0.06702605905302303
Gray-Scott reaction-diffusion,bubbles,A,full,radial,3,0.07478771691875126,0.1418137759717743
Gray-Scott reaction-diffusion,bubbles,A,full,radial,4,0.050488643013373774,0.19230241898514808
Gray-Scott reaction-diffusion,bubbles,A,full,radial,5,0.10723664401159105,0.29953906299673916
Gray-Scott reaction-diffusion,bubbles,A,full,radial,6,0.08760814293664505,0.3871472059333842
Gray-Scott reaction-diffusion,bubbles,A,full,radial,7,0.09416699084725846,0.48131419678064263
Gray-Scott reaction-diffusion,bubbles,A,full,radial,8,0.07029083470987448,0.5516050314905171
Gray-Scott reaction-diffusion,bubbles,A,full,radial,9,0.07869533446423409,0.6303003659547511
Gray-Scott reaction-diffusion,bubbles,A,full,radial,10,0.07511586788331556,0.7054162338380667
Gray-Scott reaction-diffusion,bubbles,A,full,radial,11,0.04352302642230208,0.7489392602603688
Gray-Scott reaction-diffusion,bubbles,A,full,radial,12,0.04689205600323523,0.795831316263604
Gray-Scott reaction-diffusion,bubbles,A,full,radial,13,0.03960122902756583,0.8354325452911698
Gray-Scott reaction-diffusion,bubbles,A,full,radial,14,0.03093173313373257,0.8663642784249024
Gray-Scott reaction-diffusion,bubbles,A,full,radial,15,0.024621053308607276,0.8909853317335097
Gray-Scott reaction-diffusion,bubbles,A,full,radial,16,0.020966117087978596,0.9119514488214883
Gray-Scott reaction-diffusion,bubbles,A,full,radial,17,0.02312078396878083,0.9350722327902692
Gray-Scott reaction-diffusion,bubbles,A,full,radial,18,0.0148484318592939,0.9499206646495632
Gray-Scott reaction-diffusion,bubbles,A,full,radial,19,0.011817385015229618,0.9617380496647928
Gray-Scott reaction-diffusion,bubbles,A,full,radial,20,0.008914438099272705,0.9706524877640655
Gray-Scott reaction-diffusion,bubbles,A,full,radial,21,0.00810576802009304,0.9787582557841585
Gray-Scott reaction-diffusion,bubbles,A,full,radial,22,0.005087844605533491,0.9838461003896921
Gray-Scott reaction-diffusion,bubbles,A,full,radial,23,0.003867667460988449,0.9877137678506805
Gray-Scott reaction-diffusion,bubbles,A,full,radial,24,0.0028312472668677,0.9905450151175483
Gray-Scott reaction-diffusion,bubbles,A,full,radial,25,0.002259021082780228,0.9928040362003285
Gray-Scott reaction-diffusion,bubbles,A,full,radial,26,0.0015075836345756115,0.9943116198349041
Gray-Scott reaction-diffusion,bubbles,A,full,radial,27,0.000940590875735523,0.9952522107106396
Gray-Scott reaction-diffusion,bubbles,A,full,radial,28,0.0006721782267186898,0.9959243889373584
