family,scenario,field,segment,window,bin,freq_rel_nyquist,period_steps,period_time_units,share,cumulative_share,ar1_null_share
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,1,0.02,101.0,161.300333,0.2640189589636142,0.2640189589636142,0.1161826602688297
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,2,0.04,50.5,80.6501665,0.0689955388576694,0.3330144978212836,0.10671652899469211
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,3,0.06,33.666666666666664,53.76677766666666,0.05482299434699068,0.3878374921682743,0.09398664677901378
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,4,0.08,25.25,40.32508325,0.10103246943556135,0.48886996160383567,0.08058150700576074
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,5,0.1,20.2,32.2600666,0.07526762831457716,0.5641375899184128,0.06814900019870981
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,6,0.12,16.833333333333332,26.88338883333333,0.026189636159482485,0.5903272260778953,0.057395878877725744
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,7,0.14,14.428571428571429,23.042904714285715,0.028160958392520422,0.6184881844704158,0.048434284934910414
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,8,0.16,12.625,20.162541625,0.025229926700506475,0.6437181111709223,0.04109764937642055
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,9,0.18,11.222222222222221,17.922259222222223,0.028742505739931135,0.6724606169108535,0.035129782987733046
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,10,0.2,10.1,16.1300333,0.032546585949787,0.7050072028606406,0.03027432648395965
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,11,0.22,9.181818181818182,14.663666636363637,0.023841850102946552,0.728849052963587,0.02630826431978157
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,12,0.24,8.416666666666666,13.441694416666666,0.013462243604696278,0.7423112965682833,0.023049253167106012
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,13,0.26,7.769230769230769,12.407717923076923,0.015163079178195378,0.7574743757464787,0.020352526967803496
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,14,0.28,7.214285714285714,11.521452357142858,0.020609758885710133,0.7780841346321887,0.018104655469441042
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,15,0.3,6.733333333333333,10.753355533333332,0.014403025481560291,0.7924871601137491,0.01621714247728493
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,16,0.32,6.3125,10.0812708125,0.012360029610967552,0.8048471897247167,0.014620893294514062
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,17,0.34,5.9411764705882355,9.48825488235294,0.011119822102567347,0.8159670118272839,0.013261763202300682
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,18,0.36,5.611111111111111,8.961129611111112,0.011631465032838836,0.8275984768601228,0.012097095844018392
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,19,0.38,5.315789473684211,8.489491210526316,0.009951801041263364,0.8375502779013861,0.011093075071968867
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,20,0.4,5.05,8.06501665,0.008696945869230642,0.8462472237706168,0.01022271292638589
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,21,0.42,4.809523809523809,7.680968238095238,0.008563098041347679,0.8548103218119645,0.009464323054372439
