scenario,field,regime,coverage_nominal_pct,modes,coverage_actual_pct,n_obs,n_dof,obs_per_dof,n_modes_constrained,constrained_frac,best_rcond,rcond_spread,n_masks,vrmse,vrmse_sd,vrmse_oracle,sparsity_penalty,sparsity_penalty_sd
bubbles,A,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,0.9827809975874202,0.011116556625726805,0.8850085024261369,0.09777249516128328,0.011116556625726805
bubbles,B,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,0.9961165316746384,0.010578696300062687,0.9104715940661648,0.08564493760847351,0.010578696300062687
gliders,A,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,0.9914323954847432,0.005514531171990792,0.8673691786103043,0.12406321687443882,0.005514531171990792
gliders,B,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,1.051387449588974,0.0032678139660745793,0.9494367536465056,0.10195069594246838,0.0032678139660745793
maze,A,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,1.0246807703667893,0.004003331993788566,0.9993311601405667,0.025349610226222768,0.004003331993788566
maze,B,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,1.021904100493059,0.0031420313794896224,0.999805636945209,0.022098463547850018,0.0031420313794896224
spirals,A,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,0.8807787912486744,0.012980093939855507,0.7750979462231018,0.10568084502557262,0.012980093939855507
spirals,B,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,0.9565949606694146,0.00899752248123243,0.8698671425366544,0.0867278181327602,0.00899752248123243
spots,A,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,1.021547507339242,0.0046755726279380985,0.9993614922565,0.022186015082742205,0.0046755726279380985
spots,B,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,1.019675396967428,0.0037134437286939076,0.9998224546079847,0.01985294235944331,0.0037134437286939076
worms,A,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,1.0003191125929092,0.006635060391919647,0.9329096170145214,0.06740949557838798,0.006635060391919647
worms,B,blocks,50.0,4,50.0,8192,81,101.1358024691358,81,1.0,1e-06,0.0,3,1.017998388856996,0.006059469640341711,0.9610445613562097,0.05695382750078607,0.006059469640341711
bubbles,A,blocks,25.0,4,25.0,4096,81,50.5679012345679,81,1.0,1e-06,0.31442044465280644,3,1.7198086171447162,0.4801026907942208,0.8850085024261369,0.8348001147185794,0.4801026907942208
bubbles,B,blocks,25.0,4,25.0,4096,81,50.5679012345679,76,0.9382716049382716,0.1,0.38816456426875967,3,1.3186082799143757,0.14940245335601002,0.9104715940661648,0.4081366858482108,0.14940245335601
