ic,band,window,n_time,omega,k,label,period_steps,share
IC36,tropics,boxcar,3024,-504,4,diurnal x4,6.0,4.722352854567321e-10
IC36,tropics,boxcar,3024,-378,3,diurnal x3,8.0,4.172517034791317e-09
IC36,tropics,boxcar,3024,-252,2,diurnal x2,12.0,7.848845627904243e-08
IC36,tropics,boxcar,3024,-126,1,diurnal,24.0,0.005028823052599318
IC36,tropics,boxcar,3024,-18,0,annual x6,168.0,0.0005863205421196983
IC36,tropics,boxcar,3024,-15,0,annual x5,201.6,0.0011326317275207611
IC36,tropics,boxcar,3024,-12,0,annual x4,252.0,0.0009407433158667681
IC36,tropics,boxcar,3024,-9,0,annual x3,336.0,0.003178775483229357
IC36,tropics,boxcar,3024,-6,0,annual x2,504.0,0.003654520573930185
IC36,tropics,boxcar,3024,-3,0,annual,1008.0,0.018849800609538486
IC36,tropics,boxcar,3024,3,0,annual,1008.0,0.018849800609538486
IC36,tropics,boxcar,3024,6,0,annual x2,504.0,0.003654520573930187
IC36,tropics,boxcar,3024,9,0,annual x3,336.0,0.0031787754832293563
IC36,tropics,boxcar,3024,12,0,annual x4,252.0,0.0009407433158667685
IC36,tropics,boxcar,3024,15,0,annual x5,201.6,0.001132631727520762
IC36,tropics,boxcar,3024,18,0,annual x6,168.0,0.0005863205421196982
IC36,tropics,boxcar,3024,126,-1,diurnal,24.0,0.005028823052599319
IC36,tropics,boxcar,3024,252,-2,diurnal x2,12.0,7.848845627904221e-08
IC36,tropics,boxcar,3024,378,-3,diurnal x3,8.0,4.172517034791335e-09
IC36,tropics,boxcar,3024,504,-4,diurnal x4,6.0,4.722352854567285e-10
IC36,tropics,hann,3024,-504,4,diurnal x4,6.0,1.5282912562987982e-10
IC36,tropics,hann,3024,-378,3,diurnal x3,8.0,4.5918754517279893e-10
IC36,tropics,hann,3024,-252,2,diurnal x2,12.0,8.081388866390228e-10
IC36,tropics,hann,3024,-126,1,diurnal,24.0,0.004960144377065105
IC36,tropics,hann,3024,-18,0,annual x6,168.0,2.516296388809022e-05
