arm,ky,kx,radius,extracted_magnitude,extracted_freq,extracted_sigma,label,exact_magnitude,exact_freq,magnitude_error,freq_error
rotating,-6,0,6.0,0.8402929636379519,0.023969753546316228,-0.1740046817139269,damped,0.8704096536513517,0.0238732414637843,-0.030116690013399783,9.65120825319292e-05
rotating,-5,0,5.0,0.8956115552661232,0.02373283852691442,-0.11024849207846255,damped,0.9081162722143948,0.0238732414637843,-0.0125047169482716,-0.0001404029368698781
rotating,-5,1,5.0990195135927845,0.8402841772554077,0.023971628045852567,-0.17401513810099833,damped,0.9046219388421827,0.023873241463784306,-0.06433776158677496,9.838658206826056e-05
rotating,-5,2,5.385164807134504,0.8402580776027406,0.0239683365824843,-0.17404619909050184,damped,0.8942194068777493,0.023873241463784306,-0.05396132927500863,9.509511869999418e-05
rotating,-5,3,5.830951894845301,0.8402314504735123,0.023969099960086154,-0.17407788881993563,damped,0.8771470002880658,0.0238732414637843,-0.03691554981455347,9.585849630185453e-05
rotating,-4,0,4.0,0.941394536024588,0.023767071397245133,-0.06039295412734156,damped,0.9401789706739411,0.0238732414637843,0.00121556535064693,-0.00010617006653916572
rotating,-4,1,4.123105625617661,0.9326063431185949,0.023901557650271927,-0.06977209308848324,damped,0.9365612634996526,0.023873241463784296,-0.003954920381057714,2.8316186487631345e-05
rotating,-4,2,4.47213595499958,0.9228695146320752,0.023754215553480316,-0.08026742540259262,damped,0.9257914512036179,0.023873241463784306,-0.002921936571542716,-0.0001190259103039902
rotating,-4,3,5.0,0.9054248631136378,0.0239326701622719,-0.09935098344100106,damped,0.9081162722143948,0.0238732414637843,-0.0026914091007570473,5.942869848760135e-05
rotating,-4,4,5.656854249492381,0.8829127967131136,0.024142664567609516,-0.12452884122436013,damped,0.8839364968975113,0.023873241463784306,-0.00102370018439768,0.0002694231038252101
rotating,-3,0,3.0,0.9642357213815321,0.024071775018830576,-0.03641949000807298,damped,0.9658972392920434,0.023873241463784306,-0.0016615179105112787,0.0001985335550462701
rotating,-3,1,3.1622776601683795,0.9592248272819192,0.023770784717540273,-0.041629792282366296,damped,0.9621805709967428,0.023873241463784306,-0.0029557437148236554,-0.00010245674624403261
rotating,-3,2,3.605551275463989,0.9469120680215457,0.02402729470396746,-0.05454904330512926,damped,0.9511161542325851,0.0238732414637843,-0.004204086211039404,0.0001540532401831593
rotating,-3,3,4.242640687119285,0.930229790701053,0.024074243341892104,-0.0723236365804194,damped,0.9329574768719912,0.0238732414637843,-0.002727686170938104,0.00020100187810780448
rotating,-3,4,5.0,0.90672757597537,0.023977399544461354,-0.09791323123203827,damped,0.9081162722143948,0.0238732414637843,-0.0013886962390248225,0.00010415808067705534
rotating,-3,5,5.830951894845301,0.8754513279421466,0.024193318481263822,-0.13301572224289768,damped,0.8771470002880658,0.0238732414637843,-0.0016956723459191636,0.00032007701747952325
rotating,-2,0,2.0,0.9823304750787816,0.024045865882293026,-0.017827494575304012,damped,0.9846970418195912,0.023873241463784306,-0.0023665667408095947,0.00017262441850872043
rotating,-2,1,2.23606797749979,0.9774969767538897,0.023894004153666614,-0.022760079962294497,damped,0.9809080339138542,0.0238732414637843,-0.0034110571599644812,2.0762689882315027e-05
rotating,-2,2,2.8284271247461903,0.9655298886682189,0.024062669064725446,-0.03507822091926285,damped,0.9696282641682539,0.0238732414637843,-0.004098375500035001,0.0001894276009411465
rotating,-2,3,3.605551275463989,0.9484936627080283,0.02421280854885895,-0.05288017101259559,damped,0.9511161542325851,0.0238732414637843,-0.002622491524556847,0.00033956708507465114
rotating,-2,4,4.47213595499958,0.9230809358475807,0.024033455329407913,-0.08003836051477295,damped,0.9257914512036179,0.023873241463784306,-0.0027105153560372797,0.00016021386562360684
rotating,-2,5,5.385164807134504,0.892105234407678,0.02408602004518635,-0.11417117756736334,damped,0.8942194068777493,0.023873241463784306,-0.002114172470071285,0.00021277858140204484
rotating,-1,0,1.0,0.9926154483895068,0.023950157077689195,-0.007411952390057905,damped,0.9961521079633432,0.0238732414637843,-0.0035366595738364204,7.691561390489599e-05
rotating,-1,1,1.4142135623730951,0.9890233645691515,0.02402123824006681,-0.011037323200508396,damped,0.9923190221998122,0.0238732414637843,-0.003295657630660642,0.00014799677628251143
rotating,-1,2,2.23606797749979,0.9780126430100998,0.023996532181877778,-0.022232681617688,damped,0.9809080339138542,0.0238732414637843,-0.002895390903754347,0.00012329071809347864
rotating,-1,3,3.1622776601683795,0.9594484110518887,0.02403415885657476,-0.041396731470848686,damped,0.9621805709967428,0.023873241463784306,-0.0027321599448540956,0.00016091739279045295
rotating,-1,4,4.123105625617661,0.933656598918518,0.023964882012699994,-0.06864657547021254,damped,0.9365612634996526,0.023873241463784296,-0.002904664581134586,9.164054891569809e-05
rotating,-1,5,5.0990195135927845,0.902466403755908,0.023709428083598775,-0.10262381522322325,damped,0.9046219388421827,0.023873241463784306,-0.0021555350862746403,-0.00016381338018553113
rotating,0,0,0.0,0.9973770205239152,0.024089611601002946,-0.0026264255139942646,resonant,0.9999999999999999,0.0238732414637843,-0.002622979476084697,0.00021637013721864662
rotating,0,1,1.0,0.9931778706704124,0.023848750886595493,-0.006845506435641889,damped,0.9961521079633432,0.0238732414637843,-0.0029742372929307814,-2.4490577188805707e-05
rotating,0,2,2.0,0.9818717970466141,0.024046827873348896,-0.018294532056131844,damped,0.9846970418195912,0.023873241463784306,-0.0028252447729770758,0.00017358640956459045
