ky,kx,radius,rel_norm_diff,analytic_lead_magnitude,empirical_lead_magnitude,log_magnitude_gap,arm
0,0,0.0,0.2576796518209281,0.796793350780959,0.9973770205239152,-0.22453349213598808,rotating
0,1,1.0,0.2553097392962939,0.7659502455811203,0.9931778706704124,-0.2597925584649282,rotating
0,2,2.0,0.25548899171010087,0.7577126583295007,0.9818717970466141,-0.2591565118731103,rotating
0,3,3.0,0.2555711226441173,0.7415569734293981,0.9646016541013446,-0.26296322843912867,rotating
0,4,4.0,0.2560154943583212,0.7217366691274193,0.9371540615688055,-0.2611873405891446,rotating
0,5,5.0,0.2564477650206136,0.6963957223733096,0.9057715017330039,-0.2628690032511165,rotating
0,6,6.0,0.257057323370988,0.6682191694878012,0.8682331364976504,-0.2618440512715918,rotating
1,0,1.0,0.25686486577119516,0.7843876245671321,0.9926195126135164,-0.23544410378716504,rotating
1,1,1.4142135623730951,0.254954217148756,0.7649322411153197,0.9897476098863963,-0.25766271491915516,rotating
1,2,2.23606797749979,0.2551656445721936,0.7544201295180518,0.977753962539664,-0.2593086525584588,rotating
1,3,3.1622776601683795,0.25524140519408783,0.7376849337488137,0.9597058755468977,-0.26311004347435707,rotating
1,4,4.123105625617661,0.25585724896225354,0.7178741120995109,0.9328595913176436,-0.2619604755632231,rotating
1,5,5.0990195135927845,0.2561883174516846,0.6914343193905234,0.9017406356697042,-0.2655587713216808,rotating
2,0,2.0,0.256635099839147,0.771831346681579,0.9823388945060151,-0.24117029192994904,rotating
2,1,2.23606797749979,0.2551366276161338,0.7549266907981809,0.9777302142470973,-0.2586131311727549,rotating
2,2,2.8284271247461903,0.2553093470397458,0.7448752486261919,0.9666343485745624,-0.2606035413889804,rotating
2,3,3.605551275463989,0.25537622435803564,0.7284100655456031,0.9481761016334104,-0.263676079756036,rotating
2,4,4.47213595499958,0.25612096349961766,0.7094266653453424,0.9229983284833205,-0.26317029331804376,rotating
2,5,5.385164807134504,0.25664586785874954,0.6832703929643363,0.8920563409319816,-0.2666386217000577,rotating
3,0,3.0,0.2562118055496088,0.7509253577011825,0.9642385029430942,-0.25003241742161825,rotating
3,1,3.1622776601683795,0.25508569404467574,0.7404924634278872,0.9587792695716155,-0.25834542512776276,rotating
3,2,3.605551275463989,0.25539288575365277,0.7309781690815033,0.9481963469176744,-0.26017800296478416,rotating
3,3,4.242640687119285,0.25584402895556807,0.716259935181216,0.9309418971781093,-0.2621537272425706,rotating
3,4,5.0,0.2566221700254193,0.6950388913056887,0.9059252786356788,-0.26498902601738206,rotating
3,5,5.830951894845301,0.25758835469041824,0.6693568936525531,0.875333464606622,-0.26828752495997976,rotating
4,0,4.0,0.2562903222299113,0.7218612652939794,0.9414051198850976,-0.26554060044193384,rotating
4,1,4.123105625617661,0.2553310313291931,0.7184144683540721,0.9328059773475834,-0.26115056706210293,rotating
4,2,4.47213595499958,0.25581073083512185,0.7082483084074087,0.92205399756039,-0.2638090372293443,rotating
4,3,5.0,0.25623554713142205,0.6951933214211227,0.9060834591702656,-0.2649414528862811,rotating
4,4,5.656854249492381,0.25673992384554967,0.6793772746553973,0.8840273113855606,-0.26331135136424283,rotating
5,0,5.0,0.21971970802907062,0.7409092702892356,0.8956124457149859,-0.18962960559406816,rotating
5,1,5.0990195135927845,0.25617251989347994,0.6967057123344766,0.9060126137816273,-0.26269012730900987,rotating
5,2,5.385164807134504,0.2570479142581162,0.6875684327628804,0.8964811462981195,-0.2653158993304554,rotating
5,3,5.830951894845301,0.25757292255871733,0.6760389065293999,0.8782551674789127,-0.26168654654019713,rotating
-4,0,4.0,0.2572829374096295,0.723623900961273,0.941394536024588,-0.26309054125274073,rotating
