a,b,layer,overlap,min_angle_deg,median_angle_deg
source_s0,source_s0,0,1.0,0.0,0.0
source_s0,source_s1,0,0.2583,33.68,63.96
source_s0,slow_diffuse_s0,0,0.2829,22.4,65.21
source_s0,slow_diffuse_s1,0,0.2777,21.86,63.57
source_s0,fast_sharp_s0,0,0.2303,36.39,72.09
source_s0,fast_sharp_s1,0,0.1973,27.04,72.09
source_s1,source_s1,0,1.0,0.0,0.0
source_s1,slow_diffuse_s0,0,0.2153,33.97,68.9
source_s1,slow_diffuse_s1,0,0.2834,26.87,65.12
source_s1,fast_sharp_s0,0,0.1797,46.42,67.84
source_s1,fast_sharp_s1,0,0.3547,24.59,55.6
slow_diffuse_s0,slow_diffuse_s0,0,1.0,0.0,0.0
slow_diffuse_s0,slow_diffuse_s1,0,0.2669,17.22,66.93
slow_diffuse_s0,fast_sharp_s0,0,0.2263,31.54,69.43
slow_diffuse_s0,fast_sharp_s1,0,0.184,28.54,74.08
slow_diffuse_s1,slow_diffuse_s1,0,1.0,0.0,0.0
slow_diffuse_s1,fast_sharp_s0,0,0.2456,35.32,67.16
slow_diffuse_s1,fast_sharp_s1,0,0.2035,29.06,72.33
fast_sharp_s0,fast_sharp_s0,0,1.0,0.0,0.0
fast_sharp_s0,fast_sharp_s1,0,0.2201,35.67,70.1
fast_sharp_s1,fast_sharp_s1,0,1.0,0.0,0.0
