arm,target,budget,seed,n_components,test_vrmse,train_s
scratch,slow_diffuse,2,0,0,0.29670631885528564,5.0
finetune,slow_diffuse,2,0,0,0.04835283383727074,5.0
transplant_resonant,slow_diffuse,2,0,4,0.29508963227272034,5.8
transplant_damped,slow_diffuse,2,0,4,0.29588159918785095,6.0
scratch,slow_diffuse,2,1,0,0.1915469616651535,6.0
finetune,slow_diffuse,2,1,0,0.04382888600230217,6.1
transplant_resonant,slow_diffuse,2,1,4,0.18849961459636688,6.0
transplant_damped,slow_diffuse,2,1,4,0.18974314630031586,6.0
scratch,slow_diffuse,2,2,0,0.3003234565258026,5.1
finetune,slow_diffuse,2,2,0,0.040125563740730286,5.0
transplant_resonant,slow_diffuse,2,2,4,0.29605528712272644,5.1
transplant_damped,slow_diffuse,2,2,4,0.298886775970459,5.1
scratch,slow_diffuse,4,0,0,0.12547537684440613,9.9
finetune,slow_diffuse,4,0,0,0.030257338657975197,9.9
transplant_resonant,slow_diffuse,4,0,4,0.12375003844499588,9.9
transplant_damped,slow_diffuse,4,0,4,0.1272030919790268,11.4
scratch,slow_diffuse,4,1,0,0.14836284518241882,12.6
finetune,slow_diffuse,4,1,0,0.0299872774630785,12.1
transplant_resonant,slow_diffuse,4,1,4,0.1361539214849472,12.2
transplant_damped,slow_diffuse,4,1,4,0.13956215977668762,10.6
scratch,slow_diffuse,4,2,0,0.13794051110744476,9.8
finetune,slow_diffuse,4,2,0,0.0310088898986578,9.9
transplant_resonant,slow_diffuse,4,2,4,0.13351252675056458,9.8
transplant_damped,slow_diffuse,4,2,4,0.13561950623989105,9.8
scratch,slow_diffuse,8,0,0,0.032609324902296066,19.4
finetune,slow_diffuse,8,0,0,0.028472568839788437,19.7
transplant_resonant,slow_diffuse,8,0,4,0.03311179205775261,19.4
transplant_damped,slow_diffuse,8,0,4,0.03312467038631439,19.5
scratch,slow_diffuse,8,1,0,0.035805292427539825,19.4
finetune,slow_diffuse,8,1,0,0.028580687940120697,19.5
transplant_resonant,slow_diffuse,8,1,4,0.038558196276426315,19.3
transplant_damped,slow_diffuse,8,1,4,0.038888268172740936,19.5
scratch,slow_diffuse,8,2,0,0.0383589006960392,19.4
finetune,slow_diffuse,8,2,0,0.028790095821022987,19.4
transplant_resonant,slow_diffuse,8,2,4,0.04065317288041115,19.4
transplant_damped,slow_diffuse,8,2,4,0.039219606667757034,19.7
scratch,slow_diffuse,16,0,0,0.02902543544769287,39.6
finetune,slow_diffuse,16,0,0,0.02781684882938862,40.2
transplant_resonant,slow_diffuse,16,0,4,0.02913983352482319,43.3
transplant_damped,slow_diffuse,16,0,4,0.02897671051323414,40.1
scratch,slow_diffuse,16,1,0,0.028956208378076553,39.1
finetune,slow_diffuse,16,1,0,0.028128735721111298,39.7
transplant_resonant,slow_diffuse,16,1,4,0.029171520844101906,39.5
transplant_damped,slow_diffuse,16,1,4,0.029084883630275726,39.6
scratch,slow_diffuse,16,2,0,0.030314460396766663,39.7
finetune,slow_diffuse,16,2,0,0.028162116184830666,39.1
transplant_resonant,slow_diffuse,16,2,4,0.030312437564134598,41.0
transplant_damped,slow_diffuse,16,2,4,0.03070293553173542,41.2
scratch,fast_sharp,2,0,0,0.17560634016990662,5.0
finetune,fast_sharp,2,0,0,0.022392014041543007,5.1
transplant_resonant,fast_sharp,2,0,4,0.17503681778907776,5.1
transplant_damped,fast_sharp,2,0,4,0.17516623437404633,5.0
scratch,fast_sharp,2,1,0,0.23590469360351562,5.5
finetune,fast_sharp,2,1,0,0.022991284728050232,5.1
transplant_resonant,fast_sharp,2,1,4,0.23486341536045074,5.4
transplant_damped,fast_sharp,2,1,4,0.23545370995998383,6.3
scratch,fast_sharp,2,2,0,0.31418830156326294,9.6
finetune,fast_sharp,2,2,0,0.0223997849971056,6.4
transplant_resonant,fast_sharp,2,2,4,0.31437602639198303,6.2
transplant_damped,fast_sharp,2,2,4,0.31436920166015625,6.4
scratch,fast_sharp,4,0,0,0.04342960566282272,12.3
finetune,fast_sharp,4,0,0,0.009886587969958782,12.7
transplant_resonant,fast_sharp,4,0,4,0.042248260229825974,12.7
transplant_damped,fast_sharp,4,0,4,0.04282718151807785,12.4
scratch,fast_sharp,4,1,0,0.04052525758743286,12.4
finetune,fast_sharp,4,1,0,0.010132604278624058,10.0
transplant_resonant,fast_sharp,4,1,4,0.037814319133758545,10.5
transplant_damped,fast_sharp,4,1,4,0.0389443002641201,10.0
scratch,fast_sharp,4,2,0,0.05326756834983826,10.1
finetune,fast_sharp,4,2,0,0.009757157415151596,9.9
transplant_resonant,fast_sharp,4,2,4,0.05269772186875343,9.9
transplant_damped,fast_sharp,4,2,4,0.053127042949199677,9.9
scratch,fast_sharp,8,0,0,0.020597344264388084,19.5
finetune,fast_sharp,8,0,0,0.007111995946615934,23.0
transplant_resonant,fast_sharp,8,0,4,0.01827928237617016,24.0
transplant_damped,fast_sharp,8,0,4,0.019085470587015152,24.0
scratch,fast_sharp,8,1,0,0.02140907198190689,23.9
finetune,fast_sharp,8,1,0,0.0069787753745913506,23.1
transplant_resonant,fast_sharp,8,1,4,0.017132746055722237,19.6
transplant_damped,fast_sharp,8,1,4,0.01877347007393837,19.5
scratch,fast_sharp,8,2,0,0.022399410605430603,22.4
finetune,fast_sharp,8,2,0,0.007047423627227545,24.0
transplant_resonant,fast_sharp,8,2,4,0.02158006839454174,20.5
transplant_damped,fast_sharp,8,2,4,0.022679777815937996,21.0
scratch,fast_sharp,16,0,0,0.01040677446871996,42.4
finetune,fast_sharp,16,0,0,0.005610502324998379,58.1
transplant_resonant,fast_sharp,16,0,4,0.010850585997104645,51.2
transplant_damped,fast_sharp,16,0,4,0.010926813818514347,44.6
scratch,fast_sharp,16,1,0,0.009082852862775326,44.7
finetune,fast_sharp,16,1,0,0.005543862469494343,43.9
transplant_resonant,fast_sharp,16,1,4,0.009822947904467583,49.3
transplant_damped,fast_sharp,16,1,4,0.009798378683626652,48.6
scratch,fast_sharp,16,2,0,0.011062758974730968,42.9
finetune,fast_sharp,16,2,0,0.005593664012849331,47.9
transplant_resonant,fast_sharp,16,2,4,0.011287488974630833,51.3
transplant_damped,fast_sharp,16,2,4,0.011164389550685883,48.0
