surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,0.0,plugin,8,0,192,7.745333319552951e-05,nan,0.0,16.0,16.0,0.1271345278614758,nan
strong,0.0,shrunk,8,0,192,7.745333319552951e-05,nan,0.0,16.0,16.0,0.1271345278614758,nan
strong,0.0,smoothed,8,0,192,0.00011052835535517852,nan,0.0,16.0,16.0,0.127130953194826,nan
strong,0.0,uniform,8,0,192,0.15692291364193653,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.0,persistence,8,0,192,0.08014889963461083,nan,0.0,16.0,16.0,0.11679895379292848,nan
strong,0.0,learned,8,0,192,0.002940467516902852,nan,1.1902649237804807e-16,15.165375071830148,15.17043451056552,0.12679206480892982,nan
strong,0.0,learned_robust,8,0,192,0.002786932408876022,nan,1.816455365515425e-16,15.192257096331664,15.195131435186617,0.12680075479620398,nan
strong,0.0,plugin,8,1,192,7.745333319552951e-05,nan,0.0,16.0,16.0,0.1271345278614758,nan
strong,0.0,shrunk,8,1,192,7.745333319552951e-05,nan,0.0,16.0,16.0,0.1271345278614758,nan
strong,0.0,smoothed,8,1,192,0.00011052835535517852,nan,0.0,16.0,16.0,0.127130953194826,nan
strong,0.0,uniform,8,1,192,0.15692291364193653,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.0,persistence,8,1,192,0.08014889963461083,nan,0.0,16.0,16.0,0.11679895379292848,nan
strong,0.0,learned,8,1,192,0.002328808551770291,nan,3.0167991249980115e-18,15.303031473807218,15.306759212156697,0.1268024276259112,nan
strong,0.0,learned_robust,8,1,192,0.0023670931113469085,nan,4.6567496133322024e-18,15.325132899414905,15.327418323715195,0.12679660304855236,nan
strong,0.0,plugin,8,2,192,7.745333319552951e-05,nan,0.0,16.0,16.0,0.1271345278614758,nan
strong,0.0,shrunk,8,2,192,7.745333319552951e-05,nan,0.0,16.0,16.0,0.1271345278614758,nan
strong,0.0,smoothed,8,2,192,0.00011052835535517852,nan,0.0,16.0,16.0,0.127130953194826,nan
strong,0.0,uniform,8,2,192,0.15692291364193653,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.0,persistence,8,2,192,0.08014889963461083,nan,0.0,16.0,16.0,0.11679895379292848,nan
strong,0.0,learned,8,2,192,0.0021061304236977847,nan,2.1265719360455508e-17,15.279578863176127,15.284389447076089,0.12686296854980297,nan
strong,0.0,learned_robust,8,2,192,0.0020273655695657016,nan,2.0733256499560692e-17,15.324608838809084,15.331281188353215,0.12686852390358058,nan
strong,0.25,plugin,8,0,192,1.1576880947178464e-05,0.0021201305965775756,0.2671936151666315,1.22289622328272,1.630549093413235,0.11306101955625364,1.1625501674126384e-05
strong,0.25,shrunk,8,0,192,1.1576880947178464e-05,0.0021201305965775756,0.2671936151666315,1.22289622328272,1.630549093413235,0.11306101955625364,nan
strong,0.25,smoothed,8,0,192,3.513777011348099e-05,0.0040008359323534986,0.27376591499640557,1.185270961637315,1.5930354308201673,0.11294371837721462,nan
strong,0.25,uniform,8,0,192,0.01745222945600903,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.25,persistence,8,0,192,0.020887879126294747,0.09983239226403162,0.2801809339241262,1.410749993467914,1.660623655566808,0.11139221224202255,nan
strong,0.25,learned,8,0,192,5.097258061478293e-05,0.004851276922153272,0.2673420824507109,1.2256257256614298,1.6335031284946382,0.1130707214631423,nan
strong,0.25,learned_robust,8,0,192,5.7214283282130844e-05,0.005112330832551146,0.26732329794130427,1.2361546534519656,1.6434128653578206,0.11311143621140464,nan
strong,0.25,plugin,8,1,192,1.1576880947178464e-05,0.0021201305965775756,0.2671936151666315,1.22289622328272,1.630549093413235,0.11306101955625364,1.1625501674126384e-05
strong,0.25,shrunk,8,1,192,1.1576880947178464e-05,0.0021201305965775756,0.2671936151666315,1.22289622328272,1.630549093413235,0.11306101955625364,nan
strong,0.25,smoothed,8,1,192,3.513777011348099e-05,0.0040008359323534986,0.27376591499640557,1.185270961637315,1.5930354308201673,0.11294371837721462,nan
strong,0.25,uniform,8,1,192,0.01745222945600903,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.25,persistence,8,1,192,0.020887879126294747,0.09983239226403162,0.2801809339241262,1.410749993467914,1.660623655566808,0.11139221224202255,nan
strong,0.25,learned,8,1,192,7.678266440253045e-05,0.005828678006731289,0.27172423707142956,1.2145617639050623,1.6228326794254135,0.11304112781998936,nan
strong,0.25,learned_robust,8,1,192,7.473492903175942e-05,0.005688411128294876,0.27111399937531727,1.2207685549323548,1.6286787758513042,0.11306430690318847,nan
strong,0.25,plugin,8,2,192,1.1576880947178464e-05,0.0021201305965775756,0.2671936151666315,1.22289622328272,1.630549093413235,0.11306101955625364,1.1625501674126384e-05
strong,0.25,shrunk,8,2,192,1.1576880947178464e-05,0.0021201305965775756,0.2671936151666315,1.22289622328272,1.630549093413235,0.11306101955625364,nan
strong,0.25,smoothed,8,2,192,3.513777011348099e-05,0.0040008359323534986,0.27376591499640557,1.185270961637315,1.5930354308201673,0.11294371837721462,nan
strong,0.25,uniform,8,2,192,0.01745222945600903,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.25,persistence,8,2,192,0.020887879126294747,0.09983239226403162,0.2801809339241262,1.410749993467914,1.660623655566808,0.11139221224202255,nan
