alpha,sigma,measured_loss,predicted_loss,ratio,amplification,amplification_theory,coefficient
0.0,0.01,0.0013038816825143983,inf,nan,8669.0603,inf,inf
0.25,0.01,0.00010323926207520563,0.00010325089266003328,0.9998873560845043,3.0001,3.0,1.125
0.5,0.01,2.3146764302174144e-05,2.3147310145240274e-05,0.9999764187258604,1.0,1.0,0.25
1.0,0.01,0.0,0.0,nan,0.0,0.0,0.0
2.0,0.01,2.31611551409656e-05,2.3161475529780016e-05,0.9999861671673722,0.5,0.5,0.25
4.0,0.01,0.00010417088378142601,0.00010418122828193475,0.9999007066754796,0.75,0.75,1.125
8.0,0.01,0.0002834174078204423,0.000283524009012526,0.9996240135272672,0.875,0.875,3.0625
0.0,0.05,0.01848723515051997,inf,nan,2579.6838,inf,inf
0.25,0.05,0.0025927593905279507,0.0025802698408957554,1.0048404044546981,3.0007,3.0,1.125
0.5,0.05,0.0005802782240374662,0.0005792374959302686,1.0017967208865273,1.0,1.0,0.25
1.0,0.05,0.0,0.0,nan,0.0,0.0,0.0
2.0,0.05,0.0005799928315897198,0.0005801956702554673,0.9996503961057515,0.5,0.5,0.25
4.0,0.05,0.0026108408733127725,0.002610240900146841,1.0002298535609866,0.75,0.75,1.125
8.0,0.05,0.00710386738823263,0.007104352780945982,0.9999316767159067,0.875,0.875,3.0625
0.0,0.2,0.06975095115588736,inf,nan,802.9295,inf,inf
0.25,0.2,0.03912599583809945,0.04268934990313164,0.9165282658761972,3.0155,3.0,1.125
0.5,0.2,0.009362589414461822,0.009526077940393453,0.9828377925359617,1.0006,1.0,0.25
1.0,0.2,0.0,0.0,nan,0.0,0.0,0.0
2.0,0.2,0.009427272761397487,0.009480274816483664,0.9944092279905198,0.5001,0.5,0.25
4.0,0.2,0.04101905547948113,0.042596792067616816,0.9629611406973737,0.7503,0.75,1.125
8.0,0.2,0.10116518337627774,0.11586116433063491,0.8731586978323556,0.8754,0.875,3.0625
