surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,0.0,plugin,1,0,240,3.1937389804920223e-06,nan,0.0,16.0,16.0,0.11505694446295028,nan
strong,0.0,shrunk,1,0,240,3.1937389804920223e-06,nan,0.0,16.0,16.0,0.11505694446295028,nan
strong,0.0,smoothed,1,0,240,1.5139377593451539e-05,nan,0.0,16.0,16.0,0.11505549426467664,nan
strong,0.0,uniform,1,0,240,0.1875855967974043,nan,0.6444972487946347,0.0,0.47111283347883304,0.09633997139743694,nan
strong,0.0,persistence,1,0,240,0.0018323242384207933,nan,0.0,16.0,16.0,0.11489843541880791,nan
strong,0.0,learned,1,0,240,0.016060418471921526,nan,2.6215624329094297e-12,15.084785455441283,15.09768924276993,0.11398114240458602,nan
strong,0.0,learned_robust,1,0,240,0.01359432777574335,nan,1.6179438832125879e-12,15.089623963316532,15.10306125096279,0.11413294831785334,nan
strong,0.0,plugin,2,0,228,1.1460939194148553e-05,nan,0.0,16.0,16.0,0.11824139903135565,nan
strong,0.0,shrunk,2,0,228,1.1460939194148553e-05,nan,0.0,16.0,16.0,0.11824139903135565,nan
strong,0.0,smoothed,2,0,228,3.5907649380111316e-05,nan,0.0,16.0,16.0,0.11823805276141798,nan
strong,0.0,uniform,2,0,228,0.18347251472034007,nan,0.6457458758127619,0.0,0.4668073329961366,0.09936467317772178,nan
strong,0.0,persistence,2,0,228,0.007551572292528041,nan,0.0,16.0,16.0,0.11753172389652809,nan
strong,0.0,learned,2,0,228,0.014431139657515546,nan,7.072341134017968e-13,15.091377142566467,15.085854805886342,0.11719063016294413,nan
strong,0.0,learned_robust,2,0,228,0.010726402403814417,nan,2.4816167656231473e-14,15.072682648207394,15.07612037874338,0.11743647481176948,nan
strong,0.0,plugin,4,0,216,2.281676820820753e-05,nan,0.0,16.0,16.0,0.12146670799947074,nan
strong,0.0,shrunk,4,0,216,2.281676820820753e-05,nan,0.0,16.0,16.0,0.12146670799947074,nan
strong,0.0,smoothed,4,0,216,5.996609787778641e-05,nan,0.0,16.0,16.0,0.12146184203277022,nan
strong,0.0,uniform,4,0,216,0.17562624186360654,nan,0.6509624711799005,0.0,0.45524565394484945,0.10264744283649806,nan
strong,0.0,persistence,4,0,216,0.025989336510791453,nan,0.0,16.0,16.0,0.11862596037005263,nan
strong,0.0,learned,4,0,216,0.009453713821097545,nan,2.7079345352544748e-14,15.185984019512707,15.1903708121838,0.1206812728373378,nan
