surrogate,alpha,horizon,exponent,fragility_coefficient,price_of_fairness,shrink,plugin_loss,plugin_sd,plugin_gain_err,shrunk_loss,shrunk_sd,shrunk_gain_err,smoothed_loss,smoothed_sd,smoothed_gain_err,learned_loss,learned_sd,learned_gain_err,learned_robust_loss,learned_robust_sd,learned_robust_gain_err,uniform_loss,uniform_sd,uniform_gain_err,persistence_loss,persistence_sd,persistence_gain_err,plugin_max_min_ratio,law_predicted_loss,law_ratio
strong,0.0,8,inf,inf,0.0,1.0,7.745333319552951e-05,0.0,nan,7.745333319552951e-05,0.0,nan,0.00011052835535517852,0.0,nan,0.0024584688307903095,0.0003527401661668563,nan,0.002393797029929544,0.0003106662413756586,nan,0.15692291364193653,0.0,nan,0.08014889963461083,0.0,nan,0.0,,
strong,0.25,8,3.0,1.125,0.12101,1.0,1.1576880947178464e-05,0.0,0.0021201305965775756,1.1576880947178464e-05,0.0,0.0021201305965775756,3.513777011348099e-05,0.0,0.0040008359323534986,6.187990009311465e-05,1.09091029521623e-05,0.00524316949542282,6.769526236662201e-05,7.555361462638888e-06,0.005428662510316387,0.01745222945600903,0.0,0.09044670223399691,0.020887879126294747,0.0,0.09983239226403162,0.2672,1.1625501674126384e-05,0.9958177523593558
strong,0.5,8,1.0,0.25,0.14463,1.0,2.963620334163012e-06,0.0,0.0021201305965775756,2.963620334163012e-06,0.0,0.0021201305965775756,8.857946502651565e-06,0.0,0.004000835932353494,1.316155367035258e-05,2.4944846949494267e-06,0.004733114260068707,1.2606299685749479e-05,2.5486797101158226e-06,0.004570088560069762,0.004048873761548473,0.0,0.09044670223399691,0.004534974257353024,0.0,0.09983239226403162,0.4735,2.9664208724448295e-06,0.9990559201130791
strong,1.0,8,0.0,0.0,0.15692,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,-2.252276769215997e-09,2.0730825979633432e-09,nan,-4.696921205366639e-09,7.425127182734139e-11,nan,0.0,0.0,nan,0.0,0.0,nan,0.6709,0.0,nan
strong,2.0,8,-0.5,0.25,0.16317,1.0,3.2460897764294977e-06,0.0,0.0021201305965775703,3.2460897764294977e-06,0.0,0.0021201305965775703,9.755291457221385e-06,0.0,0.0040008359323534986,1.843701554382048e-05,2.7465782611664707e-06,0.005031356915276922,1.803753955528651e-05,2.659613494056481e-06,0.004921213182989096,0.004194374594744568,0.0,0.09044670223399691,0.004611224627289943,0.0,0.09983239226403164,0.8128,3.2460948571863447e-06,0.9999984348094956
strong,4.0,8,-0.75,1.125,0.16631,1.0,1.4801626587593203e-05,0.0,0.0021201305965775786,1.4801626587593203e-05,0.0,0.0021201305965775786,4.4741358929019946e-05,0.0,0.0040008359323535,8.421810396353175e-05,6.810203932622324e-06,0.005226176700961617,8.368578882494305e-05,5.612617199704425e-06,0.005073483096019869,0.019009319922736488,0.0,0.09044670223399691,0.021925095313829857,0.0,0.09983239226403162,0.8986,1.4810967566747477e-05,0.9993693201263065
strong,8.0,8,-0.875,3.0625,0.16789,1.0,4.0515365730402785e-05,0.0,0.0021201305965775786,4.0515365730402785e-05,0.0,0.0021201305965775786,0.00012361203593590624,0.0,0.0040008359323535,0.0002436911014665957,2.4808344988019065e-05,0.005317915205535213,0.00023994977854927338,2.6848704158850296e-05,0.005209390179470398,0.05033121561138492,0.0,0.09044670223399691,0.05961363348562374,0.0,0.09983239226403162,0.9453,4.0592941628355435e-05,0.9980889313550397
weak,0.0,8,inf,inf,0.0,1.0,0.001135133637954231,0.0,nan,0.001135133637954231,0.0,nan,0.0008899500339369735,0.0,nan,0.004773094927265677,0.0013899975527507137,nan,0.0030541990577199456,0.00083296105208861,nan,0.15692291364193653,0.0,nan,0.08014889963461083,0.0,nan,0.0,,
weak,0.25,8,3.0,1.125,0.12101,0.95,0.0010610092332383636,0.0,0.022552173110920438,0.000983855950804708,0.0,0.02184138848205186,0.0009707358471207206,0.0,0.021480692162010744,0.0008400159786053073,7.648919176096035e-05,0.02000069907692213,9.543710450975167e-05,1.4305985137540159e-05,0.006723499853239672,0.01745222945600903,0.0,0.09044670223399691,0.020887879126294747,0.0,0.09983239226403162,0.2566,0.0010667966147027096,0.9945749907858877
weak,0.5,8,1.0,0.25,0.14463,0.95,0.00024676786774455346,0.0,0.022552173110920445,0.00022944072622701692,0.0,0.02184138848205186,0.0002225143925221248,0.0,0.021480692162010744,0.00019603159516687072,1.9305834838279035e-05,0.020074841541948312,2.1993109643874662e-05,2.0720625376629786e-06,0.0064476394460127725,0.004048873761548473,0.0,0.09044670223399691,0.004534974257353024,0.0,0.09983239226403162,0.4672,0.0002463275780093872,1.001787415516867
weak,1.0,8,0.0,0.0,0.15692,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,-3.299337119868875e-09,9.47226758820938e-10,nan,-1.892951067692445e-09,2.916285094791189e-09,nan,0.0,0.0,nan,0.0,0.0,nan,0.6709,0.0,nan
weak,2.0,8,-0.5,0.25,0.16317,0.95,0.00025106104609930586,0.0,0.022552173110920445,0.0002369048748164278,0.0,0.021841388482051863,0.00022650339018584544,0.0,0.021480692162010744,0.0001903586620223442,2.262336444765367e-06,0.019516055242535482,2.654004983674821e-05,9.822330289528084e-07,0.006577594971277298,0.004194374594744568,0.0,0.09044670223399691,0.004611224627289943,0.0,0.09983239226403164,0.816,0.0002511174354230741,0.9997754464015084
weak,4.0,8,-0.75,1.125,0.16631,0.95,0.0011364094154602909,0.0,0.022552173110920438,0.001076558641550605,0.0,0.02184138848205186,0.0010272343682771218,0.0,0.021480692162010744,0.0008620687382812475,3.8093001459992e-05,0.019579432586879778,0.00011979812722079452,7.733031366712231e-07,0.006535431056618371,0.019009319922736488,0.0,0.09044670223399691,0.021925095313829857,0.0,0.09983239226403162,0.8896,0.0011334466608685925,1.0026139338479572
weak,8.0,8,-0.875,3.0625,0.16789,0.95,0.0031194513583305047,0.0,0.022552173110920445,0.002966417287486116,0.0,0.02184138848205186,0.0028297820737337117,0.0,0.021480692162010744,0.0023702448100048,0.00011336735510286127,0.019654179939308545,0.0003369997574930805,1.3357258029543491e-05,0.006663649713245807,0.05033121561138492,0.0,0.09044670223399691,0.05961363348562374,0.0,0.09983239226403162,0.9055,0.003090028716182611,1.0095218021741372
