trajectory,alpha,arm,rel_welfare_loss
0,0.5,online_no_regret,0.001871139348115427
0,0.5,best_fixed,0.0020257764122154974
0,0.5,forecast,5.065641949441576e-07
0,0.5,persistence,7.746739625297688e-05
0,0.5,uniform,0.002065423196828402
0,2.0,online_no_regret,0.0005087022502645958
0,2.0,best_fixed,0.002059334514459248
0,2.0,forecast,5.184475363775366e-07
0,2.0,persistence,7.521322156652428e-05
0,2.0,uniform,0.002059334514459248
0,8.0,online_no_regret,0.001667249411400663
0,8.0,best_fixed,0.024618004397946685
0,8.0,forecast,6.3749530868998745e-06
0,8.0,persistence,0.0009547911830100833
0,8.0,uniform,0.024618004397946685
1,0.5,online_no_regret,0.0037524065263629435
1,0.5,best_fixed,0.004165177986740323
1,0.5,forecast,8.000122387202396e-07
1,0.5,persistence,0.00011166225398410823
1,0.5,uniform,0.004220826585500188
1,2.0,online_no_regret,0.0008733221446996808
1,2.0,best_fixed,0.004242694604378154
1,2.0,forecast,8.291474920583643e-07
1,2.0,persistence,0.00011171339651311198
1,2.0,uniform,0.004242694604378154
1,8.0,online_no_regret,0.002374201298964012
1,8.0,best_fixed,0.045105650303654356
1,8.0,forecast,1.0176166073817008e-05
1,8.0,persistence,0.0013644531308337248
1,8.0,uniform,0.045105650303654356
2,0.5,online_no_regret,0.002787555783305855
2,0.5,best_fixed,0.0030325019626768123
2,0.5,forecast,4.491871542243987e-07
2,0.5,persistence,8.954123724017121e-05
2,0.5,uniform,0.0030624725225131435
2,2.0,online_no_regret,0.0006757977409293187
2,2.0,best_fixed,0.0030785473477487825
2,2.0,forecast,4.6845898869453714e-07
2,2.0,persistence,9.281340299160091e-05
2,2.0,uniform,0.0031479803405237905
2,8.0,online_no_regret,0.001958439111759789
2,8.0,best_fixed,0.03527484596674814
2,8.0,forecast,5.792369460140734e-06
2,8.0,persistence,0.0012238199883432854
2,8.0,uniform,0.03873776206510039
3,0.5,online_no_regret,0.005167441139693024
3,0.5,best_fixed,0.005555805826184512
3,0.5,forecast,7.30325914328357e-07
3,0.5,persistence,0.00015599027497125988
3,0.5,uniform,0.0056327415798125766
3,2.0,online_no_regret,0.0014502779416518076
3,2.0,best_fixed,0.005525990341904337
3,2.0,forecast,7.005220248010812e-07
3,2.0,persistence,0.00016253450198662088
3,2.0,uniform,0.005525990341904337
3,8.0,online_no_regret,0.00428139689500219
3,8.0,best_fixed,0.057544990653513164
3,8.0,forecast,8.473111435617439e-06
3,8.0,persistence,0.002062613475298851
3,8.0,uniform,0.057544990653513164
4,0.5,online_no_regret,0.0035606223630072972
4,0.5,best_fixed,0.003928289878692497
4,0.5,forecast,5.395989288497906e-07
4,0.5,persistence,0.00010480028521643912
4,0.5,uniform,0.003945141493610366
4,2.0,online_no_regret,0.000857845852867608
4,2.0,best_fixed,0.0039213758030216825
4,2.0,forecast,5.623638834321808e-07
4,2.0,persistence,0.00010510538977853558
4,2.0,uniform,0.003945562030037551
4,8.0,online_no_regret,0.0019836183499354113
4,8.0,best_fixed,0.04300347668975673
4,8.0,forecast,6.919738187717323e-06
4,8.0,persistence,0.00130184030091838
4,8.0,uniform,0.04397333471991677
5,0.5,online_no_regret,0.0023240440088142947
5,0.5,best_fixed,0.0024406354713350066
5,0.5,forecast,9.223303833446805e-07
5,0.5,persistence,9.965800469349592e-05
5,0.5,uniform,0.0024759035367965857
5,2.0,online_no_regret,0.00077422194311696
5,2.0,best_fixed,0.0024742460620136865
5,2.0,forecast,9.568894536652413e-07
5,2.0,persistence,9.88572142764818e-05
5,2.0,uniform,0.0024742460620136865
5,8.0,online_no_regret,0.0025943983515427714
5,8.0,best_fixed,0.028227102580341085
5,8.0,forecast,1.1845584492067638e-05
5,8.0,persistence,0.001214408144430395
5,8.0,uniform,0.028227102580341085
6,0.5,online_no_regret,0.006643035163574921
6,0.5,best_fixed,0.007036549819037685
6,0.5,forecast,1.3228881226724527e-06
6,0.5,persistence,0.00022867895668079508
6,0.5,uniform,0.007143606033687577
6,2.0,online_no_regret,0.002101853782883258
6,2.0,best_fixed,0.007017202531561937
6,2.0,forecast,1.4834116125006228e-06
6,2.0,persistence,0.00022570584332290352
6,2.0,uniform,0.007017202531561937
6,8.0,online_no_regret,0.005444815109702494
6,8.0,best_fixed,0.06833981089630309
6,8.0,forecast,1.8747680024639032e-05
6,8.0,persistence,0.0027912737124670215
6,8.0,uniform,0.06833981089630309
7,0.5,online_no_regret,0.0034019462997939907
7,0.5,best_fixed,0.003701425271576629
7,0.5,forecast,9.234824551188426e-07
7,0.5,persistence,9.196075612400875e-05
7,0.5,uniform,0.0037271507379060677
7,2.0,online_no_regret,0.0009329018171787551
7,2.0,best_fixed,0.003728958563288459
7,2.0,forecast,9.373317332733294e-07
7,2.0,persistence,9.250798974443548e-05
7,2.0,uniform,0.003728958563288459
7,8.0,online_no_regret,0.003239125124130012
7,8.0,best_fixed,0.04118450236922715
7,8.0,forecast,1.151815064080421e-05
7,8.0,persistence,0.001145373627789747
7,8.0,uniform,0.04118450236922715
