arm,seed,test_vrmse,test_mse,valid_mse,bound_violation,best_epoch,n_parameters,p,shortcut_fraction,lambda_1,beta,advantage
identity,0,0.22221344651355515,8.675039134686813e-05,6.299192820757944e-05,0.0,40,4913,0.0,0.0,3.999999999999999,0.06000000000000001,0.0
lattice,0,0.16333433342397286,4.686900138040073e-05,4.992098874080427e-05,0.007860392332077026,39,4913,0.0,0.0,3.999999999999999,0.06000000000000001,0.26496647261168615
rewired,0,0.19072656723221154,6.390768976416439e-05,6.654903837103191e-05,0.011393897235393524,39,4913,0.0,0.0,3.999999999999999,0.06000000000000001,0.14169655246053214
true,0,0.16333433342397286,4.686900138040073e-05,4.992098874080427e-05,0.007860392332077026,39,4913,0.0,0.0,3.999999999999999,0.06000000000000001,0.26496647261168615
identity,1,0.20620087665822978,7.469848060281947e-05,5.029941639661547e-05,0.00618361309170723,40,4913,0.0,0.0,3.999999999999999,0.06000000000000001,0.0
lattice,1,0.213656222227084,8.019768574740738e-05,6.033527803312758e-05,0.011611171066761017,40,4913,0.0,0.0,3.999999999999999,0.06000000000000001,-0.03615574138033928
rewired,1,0.23067708337103676,9.34845011215657e-05,6.927391391856656e-05,0.015220828354358673,40,4913,0.0,0.0,3.999999999999999,0.06000000000000001,-0.11870078881078361
true,1,0.213656222227084,8.019768574740738e-05,6.033527803312758e-05,0.011611171066761017,40,4913,0.0,0.0,3.999999999999999,0.06000000000000001,-0.03615574138033928
identity,2,0.22970023711359835,9.269443398807198e-05,6.806558982399353e-05,0.00934465229511261,40,4913,0.0,0.0,3.999999999999999,0.06000000000000001,0.0
lattice,2,0.23202140807326058,9.457729174755514e-05,7.957080320614477e-05,0.012166596949100494,39,4913,0.0,0.0,3.999999999999999,0.06000000000000001,-0.010105217952014023
rewired,2,0.2450673259548978,0.00010551193554420024,8.459756299091916e-05,0.008082196116447449,39,4913,0.0,0.0,3.999999999999999,0.06000000000000001,-0.0669006224564741
true,2,0.23202140807326058,9.457729174755514e-05,7.957080320614477e-05,0.012166596949100494,39,4913,0.0,0.0,3.999999999999999,0.06000000000000001,-0.010105217952014023
identity,0,0.2665881613594379,0.0001356120774289593,9.914132503576872e-05,0.002050299197435379,39,4913,0.25,0.1875,4.321318521649893,0.05553860443232665,0.0
lattice,0,0.24496604930249408,0.00011450605961726978,7.924314334859085e-05,0.005153432488441467,36,4913,0.25,0.1875,4.321318521649893,0.05553860443232665,0.08110679764129125
rewired,0,0.22118858674321262,9.335597133031115e-05,6.727417710376268e-05,0.00900387391448021,40,4913,0.25,0.1875,4.321318521649893,0.05553860443232665,0.17029853983280807
true,0,0.17885890940916666,6.104327621869743e-05,4.771960223769789e-05,0.006643760949373245,38,4913,0.25,0.1875,4.321318521649893,0.05553860443232665,0.3290815747515017
identity,1,0.2586447593629577,0.00011651753447949886,9.953743352039088e-05,0.006475180387496948,36,4913,0.25,0.1875,4.211427294253748,0.05698780561342381,0.0
lattice,1,0.2512075789935431,0.00010991308954544365,9.302268068173087e-05,0.009061947464942932,39,4913,0.25,0.1875,4.211427294253748,0.05698780561342381,0.02875442126773564
rewired,1,0.24121268504180193,0.00010134078183909878,7.954955429106985e-05,0.008672565221786499,40,4913,0.25,0.1875,4.211427294253748,0.05698780561342381,0.0673977480312804
true,1,0.2245339765694036,8.781082578934729e-05,6.415284724314613e-05,0.01754307746887207,36,4913,0.25,0.1875,4.211427294253748,0.05698780561342381,0.1318827525350562
