arm,params,disk_mb,interactive_ms,train_hours,ok_disk,ok_interactive,ok_trains_in_session,deployable
cnn-w32-r16,13730,0.05237579345703125,0.4028754774481058,4.271556700688153,True,True,True,True
cnn-w64-r32,107842,0.41138458251953125,1.1738750035874546,20.226676805476828,True,True,False,False
fno_s-w32-m8,528674,2.0167312622070312,1.4537915121763945,4.96958621523744,True,True,True,True
fno_s-w32-m16,2101538,8.016731262207031,4.044333501951769,5.592233819697868,True,True,True,True
fno_s-w64-m16,16810818,64.12818145751953,22.44843750668224,25.95329281272522,True,True,False,False
cp-w32-r2,5162,0.02265167236328125,4.452916502486914,5.4409910424308485,True,True,True,True
cp-w32-r2+fused,5162,0.02265167236328125,2.8642290126299486,5.42509114590454,True,True,True,True
cp-w32-r8,7490,0.04041290283203125,4.033770499518141,5.5188729513449495,True,True,True,True
cp-w32-r8+fused,7490,0.04041290283203125,3.2034794858191162,5.369712083241514,True,True,True,True
cp-w32-r32,16802,0.11145782470703125,5.459937994601205,5.71794704834853,True,True,True,True
cp-w32-r32+fused,16802,0.11145782470703125,2.8827295172959566,5.8387239591360816,True,True,True,True
cp-w64-r8,43906,0.20679473876953125,30.874624993884936,25.448347778365132,True,True,False,False
cp-w64-r8+fused,43906,0.20679473876953125,19.4605204887921,25.923606771256246,True,True,False,False
